name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
KL Rahul,WK-Batsman,Right Handed Bat,,Delhi Capitals,150,141,5390,3939,132,45.68,136.84,23,471,215,5,42,5,0,0,0,150,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,delhi-capitals__kl-rahul.jpg
Tristan Stubbs,WK-Batsman,Right Handed Bat,Right-arm offbreak,Delhi Capitals,37,35,874,559,71,46,156.36,16,62,42,2,5,0,0,0,0,37,5,36,69,0,4,17.25,11.5,9.0,2/11,2/11,0,0,0,delhi-capitals__tristan-stubbs.jpg
Dushmantha Chameera,Bowler,Right Handed Bat,Right-arm fast,Delhi Capitals,19,11,53,42,17,13.25,126.20,7,3,3,2,0,0,0,0,0,19,18,372,603,0,13,46.38,9.73,28.62,2/17,2/17,0,0,0,delhi-capitals__dushmantha-chameera.jpg
Kuldeep Yadav,Bowler,Left Handed Bat,Left-arm wrist-spin,Delhi Capitals,103,40,206,240,35,12.12,85.84,23,18,3,5,0,0,0,0,0,103,100,2154,2909,1,107,27.19,8.1,20.13,4/14,4/14,4,0,0,delhi-capitals__kuldeep-yadav.jpg
Mukesh Kumar,Bowler,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,37,5,10,18,6,10,55.56,4,0,0,0,0,0,0,0,0,37,37,744,1269,1,41,30.95,10.23,18.15,4/33,4/33,1,0,0,delhi-capitals__mukesh-kumar.jpg
T Natarajan,Bowler,Left Handed Bat,Left-arm fast-medium,Delhi Capitals,68,5,4,7,3,0,57.15,5,0,0,0,0,0,0,0,0,68,67,1457,2175,2,71,30.63,8.96,20.52,4/19,4/19,1,0,0,delhi-capitals__t-natarajan.jpg
Mitchell Starc,Bowler,Left Handed Bat,Left-arm fast,Delhi Capitals,51,23,111,119,29,10.09,93.28,12,11,0,3,0,0,0,0,0,51,49,1047,1503,1,65,23.12,8.61,16.11,5/35,5/35,2,1,0,delhi-capitals__mitchell-starc.jpg
Lungi Ngidi,Bowler,Right Handed Bat,Right-arm fast,Delhi Capitals,21,2,3,7,3,3,42.86,1,0,0,0,0,0,0,0,0,21,21,490,694,2,36,19.28,8.5,13.61,4/10,4/10,1,0,0,delhi-capitals__lungi-ngidi.jpg
Kyle Jamieson,Bowler,Right Handed Bat,Right-arm fast-medium,Delhi Capitals,13,9,65,60,16,16.25,108.34,5,5,3,0,0,0,0,0,0,13,13,258,416,1,14,29.71,9.67,18.43,3/41,3/41,0,0,0,delhi-capitals__kyle-jamieson.jpg
Shubman Gill,Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,122,119,4117,2949,129,40.36,139.61,17,396,129,4,29,4,0,0,0,122,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__shubman-gill.jpg
Shahrukh Khan,Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,60,52,750,503,58,20.83,149.11,16,47,51,3,2,0,0,0,0,60,3,18,28,0,1,28.0,9.33,18.0,1/13,1/13,0,0,0,gujarat-titans__shahrukh-khan.jpg
Sai Sudharsan,Batsman,Left Handed Bat,Right-arm legbreak,Gujarat Titans,45,45,1928,1321,108,47.02,145.96,4,200,57,0,13,2,0,0,0,45,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__sai-sudharsan.jpg
Nishant Sindhu,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gujarat-titans__nishant-sindhu.jpg
Rashid Khan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Gujarat Titans,141,70,609,382,79,14.16,159.43,27,44,41,16,1,0,0,0,0,141,141,3309,3920,4,164,23.9,7.11,20.18,4/24,4/24,2,0,0,gujarat-titans__rashid-khan.jpg
Manav Suthar,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,1,1,1,2,1,1,50.00,0,0,0,0,0,0,0,0,0,1,1,12,26,0,0,0.0,13,0.0,0/26,0/26,0,0,0,gujarat-titans__manav-suthar.jpg
Rahul Tewatia,Bowling Allrounder,Left Handed Bat,Right-arm legbreak,Gujarat Titans,113,82,1153,842,53,23.53,136.94,33,93,55,3,1,0,0,0,0,113,52,843,1111,0,32,34.72,7.91,26.34,3/18,3/18,0,0,0,gujarat-titans__rahul-tewatia.jpg
Washington Sundar,Bowling Allrounder,Left Handed Bat,Right-arm offbreak,Gujarat Titans,71,50,622,481,55,17.28,129.32,14,54,19,2,1,0,0,0,0,71,65,1144,1474,1,40,36.85,7.73,28.6,3/16,3/16,0,0,0,gujarat-titans__washington-sundar.jpg
Arshad Khan,Bowling Allrounder,Left Handed Bat,Left-arm medium,Gujarat Titans,19,12,124,88,58,20.67,140.91,6,6,9,1,1,0,0,0,0,19,19,272,521,0,12,43.42,11.49,22.67,3/39,3/39,0,0,0,gujarat-titans__arshad-khan.jpg
Ravisrinivasan Sai Kishore,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Gujarat Titans,25,5,18,16,13,4.5,112.50,1,0,2,0,0,0,0,0,0,25,25,441,651,0,32,20.34,8.86,13.78,4/33,4/33,1,0,0,gujarat-titans__ravisrinivasan-sai-kishore.jpg
Jason Holder,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,46,27,259,210,47,12.33,123.34,6,13,18,2,0,0,0,0,0,46,46,995,1461,0,53,27.57,8.81,18.77,4/52,4/52,1,0,0,gujarat-titans__jason-holder.jpg
Anuj Rawat,WK-Batsman,Left Handed Bat,,Gujarat Titans,24,21,318,267,66,19.88,119.11,5,26,14,4,1,0,0,0,0,24,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__anuj-rawat.jpg
Jos Buttler,WK-Batsman,Right Handed Bat,,Gujarat Titans,126,124,4321,2884,124,40.01,149.83,16,431,194,8,26,7,0,0,0,126,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__jos-buttler.jpg
Kumar Kushagra,WK-Batsman,Right Handed Bat,,Gujarat Titans,5,4,21,21,18,5.25,100.00,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__kumar-kushagra.jpg
Glenn Phillips,WK-Batsman,Right Handed Bat,Right-arm offbreak,Gujarat Titans,13,12,126,101,25,12.6,124.76,2,7,8,1,0,0,0,0,0,13,4,30,40,0,2,20.0,8,15.0,1/10,1/10,0,0,0,gujarat-titans__glenn-phillips.jpg
Connor Esterhuizen,WK-Batsman,Right Handed Bat,,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,gujarat-titans__connor-esterhuizen.jpg
Gurnoor Brar,Bowler,Left Handed Bat,Right-arm fast,Gujarat Titans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,42,0,0,0.0,14,0.0,0/42,0/42,0,0,0,gujarat-titans__gurnoor-brar.jpg
Mohammed Siraj,Bowler,Right Handed Bat,Right-arm fast,Gujarat Titans,113,26,112,123,14,11.2,91.06,16,10,4,2,0,0,0,0,0,113,113,2408,3506,4,114,30.75,8.74,21.12,4/17,4/17,3,0,0,gujarat-titans__mohammed-siraj.jpg
Prasidh Krishna,Bowler,Right Handed Bat,Right-arm fast,Gujarat Titans,71,10,9,24,4,3,37.50,7,0,0,2,0,0,0,0,0,71,71,1619,2375,3,85,27.94,8.8,19.05,4/28,4/28,3,0,0,gujarat-titans__prasidh-krishna.jpg
Kagiso Rabada,Bowler,Left Handed Bat,Right-arm fast,Gujarat Titans,89,34,238,217,44,13.22,109.68,16,17,11,4,0,0,0,0,0,89,89,2016,2923,2,126,23.2,8.7,16.0,4/21,4/21,6,0,0,gujarat-titans__kagiso-rabada.jpg
Jayant Yadav,Bowler,Right Handed Bat,Right-arm offbreak,Gujarat Titans,20,5,40,36,23,10,111.12,1,2,1,0,0,0,0,0,0,20,20,390,445,0,8,55.63,6.85,48.75,1/8,1/8,0,0,0,gujarat-titans__jayant-yadav.jpg
Ishant Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,117,28,57,69,10,9.5,82.61,22,4,2,1,0,0,0,0,0,117,117,2419,3377,6,96,35.18,8.38,25.2,5/12,5/12,0,1,0,gujarat-titans__ishant-sharma.jpg
Ashok Sharma,Bowler,Right Handed Bat,Right-arm fast-medium,Gujarat Titans,5,1,0,1,0,0,0.00,1,0,0,0,0,0,0,0,0,5,5,108,190,0,6,31.67,10.56,18.0,2/32,2/32,0,0,0,gujarat-titans__ashok-sharma.jpg
Luke Wood,Bowler,Left Handed Bat,Left-arm fast-medium,Gujarat Titans,2,1,9,3,9,0,300.00,1,0,1,0,0,0,0,0,0,2,2,36,93,0,1,93.0,15.5,36.0,1/68,1/68,0,0,0,gujarat-titans__luke-wood.jpg
Kulwant Khejroliya,Bowler,Left Handed Bat,Left-arm fast-medium,Gujarat Titans,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,139,246,0,6,41.0,10.62,23.17,2/33,2/33,0,0,0,gujarat-titans__kulwant-khejroliya.jpg
Rajat Patidar,Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,48,44,1341,828,112,32.71,161.96,3,88,90,1,11,1,0,0,0,48,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__rajat-patidar.jpg
Tim David,Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,56,50,1019,573,70,36.39,177.84,22,66,74,3,2,0,0,0,0,56,1,6,18,0,0,0.0,18,0.0,0/18,0/18,0,0,0,royal-challengers-bengaluru__tim-david.jpg
Virat Kohli,Batsman,Right Handed Bat,Right-arm medium,Royal Challengers Bengaluru,273,265,8908,6676,113,39.77,133.44,41,799,299,10,65,8,0,0,0,273,26,251,368,0,4,92.0,8.8,62.75,2/25,2/25,0,0,0,royal-challengers-bengaluru__virat-kohli.jpg
Devdutt Padikkal,Batsman,Left Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,80,79,1959,1516,101,25.78,129.23,3,207,63,6,13,1,0,0,0,80,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__devdutt-padikkal.jpg
Jacob Bethell,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,2,2,67,39,55,33.5,171.80,0,9,3,0,1,0,0,0,0,2,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__jacob-bethell.jpg
Krunal Pandya,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,148,119,1761,1336,86,21.48,131.82,37,151,66,7,2,0,0,0,0,148,138,2524,3165,1,101,31.34,7.52,24.99,4/45,4/45,1,0,0,royal-challengers-bengaluru__krunal-pandya.jpg
Venkatesh Iyer,Batting Allrounder,Left Handed Bat,Right-arm medium,Royal Challengers Bengaluru,62,57,1497,1084,104,30.55,138.10,8,137,67,2,12,1,0,0,0,62,9,81,143,0,3,47.67,10.59,27.0,2/29,2/29,0,0,0,royal-challengers-bengaluru__venkatesh-iyer.jpg
Vihaan Malhotra,Batting Allrounder,Left Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__vihaan-malhotra.jpg
Romario Shepherd,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,24,16,224,112,53,24.89,200.00,7,15,19,2,1,0,0,0,0,24,20,264,544,0,13,41.85,12.36,20.31,3/54,3/54,0,0,0,royal-challengers-bengaluru__romario-shepherd.jpg
Mangesh Yadav,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__mangesh-yadav.jpg
Kanishk Chouhan,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__kanishk-chouhan.jpg
Satvik Deswal,Bowling Allrounder,Left Handed Bat,Left-arm wrist-spin,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__satvik-deswal.jpg
Philip Salt,WK-Batsman,Right Handed Bat,Right-arm offbreak,Royal Challengers Bengaluru,40,40,1258,721,89,34,174.48,3,138,67,4,12,0,0,0,0,40,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__philip-salt.jpg
Jitesh Sharma,WK-Batsman,Right Handed Bat,,Royal Challengers Bengaluru,61,52,1043,678,85,23.7,153.84,8,81,64,3,1,0,0,0,0,61,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__jitesh-sharma.jpg
Jordan Cox,WK-Batsman,Right Handed Bat,,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,royal-challengers-bengaluru__jordan-cox.jpg
Abhinandan Singh,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,122,0,3,40.67,12.62,19.33,2/30,2/30,0,0,0,royal-challengers-bengaluru__abhinandan-singh.jpg
Josh Hazlewood,Bowler,Left Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,42,7,19,29,7,0,65.52,7,1,0,0,0,0,0,0,0,42,42,939,1298,1,60,21.63,8.29,15.65,4/25,4/25,2,0,0,royal-challengers-bengaluru__josh-hazlewood.jpg
Rasikh Salam Dar,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,16,7,40,40,10,8,100.00,2,5,0,0,0,0,0,0,0,16,16,296,496,0,15,33.07,10.05,19.73,4/24,4/24,1,0,0,royal-challengers-bengaluru__rasikh-salam-dar.jpg
Bhuvneshwar Kumar,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,196,76,332,360,27,8.74,92.23,38,32,3,6,0,0,0,0,0,196,196,4366,5612,14,208,26.98,7.71,20.99,5/19,5/19,2,2,0,royal-challengers-bengaluru__bhuvneshwar-kumar.jpg
Suyash Sharma,Bowler,Right Handed Bat,Right-arm legbreak,Royal Challengers Bengaluru,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,666,975,0,22,44.32,8.78,30.27,3/17,3/17,0,0,0,royal-challengers-bengaluru__suyash-sharma.jpg
Swapnil Singh,Bowler,Right Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,14,9,51,45,15,10.2,113.34,4,3,3,2,0,0,0,0,0,14,14,162,241,0,7,34.43,8.93,23.14,2/28,2/28,0,0,0,royal-challengers-bengaluru__swapnil-singh.jpg
Nuwan Thushara,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,180,283,0,9,31.44,9.43,20.0,3/28,3/28,0,0,0,royal-challengers-bengaluru__nuwan-thushara.jpg
Jacob Duffy,Bowler,Right Handed Bat,Right-arm fast-medium,Royal Challengers Bengaluru,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,72,138,0,6,23.0,11.5,12.0,3/22,3/22,0,0,0,royal-challengers-bengaluru__jacob-duffy.jpg
Vicky Ostwal,Bowler,Right Handed Bat,Left-arm orthodox,Royal Challengers Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,royal-challengers-bengaluru__vicky-ostwal.jpg
Shreyas Iyer,Batsman,Right Handed Bat,Right-arm legbreak,Punjab Kings,138,137,3939,2912,97,34.86,135.27,24,328,166,7,30,0,0,0,0,138,1,6,7,0,0,0.0,7,0.0,0/7,0/7,0,0,0,punjab-kings__shreyas-iyer.jpg
Priyansh Arya,Batsman,Left Handed Bat,Right-arm offbreak,Punjab Kings,22,22,686,350,103,31.18,196.00,0,69,45,1,4,1,0,0,0,22,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__priyansh-arya.jpg
Pyla Avinash,Batsman,Right Handed Bat,Right-arm fast-medium,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__pyla-avinash.jpg
Harnoor Singh,Batsman,Left Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__harnoor-singh.jpg
Nehal Wadhera,Batsman,Left Handed Bat,Right-arm legbreak,Punjab Kings,41,35,759,539,70,24.48,140.82,4,61,42,1,4,0,0,0,0,41,2,17,22,0,0,0.0,7.76,0.0,0/9,0/9,0,0,0,punjab-kings__nehal-wadhera.jpg
Mitchell Owen,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,1,1,0,2,0,0,0.00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__mitchell-owen.jpg
Musheer Khan,Batting Allrounder,Right Handed Bat,Left-arm orthodox,Punjab Kings,1,1,0,3,0,0,0.00,0,0,0,1,0,0,0,0,0,1,1,12,27,0,1,27.0,13.5,12.0,1/27,1/27,0,0,0,punjab-kings__musheer-khan.jpg
Shashank Singh,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,47,37,824,516,68,39.24,159.69,16,60,46,2,5,0,0,0,0,47,6,60,91,0,4,22.75,9.1,15.0,2/20,2/20,0,0,0,punjab-kings__shashank-singh.jpg
Marcus Stoinis,Batting Allrounder,Right Handed Bat,Right-arm medium,Punjab Kings,115,103,2074,1426,124,28.03,145.45,29,164,108,10,9,1,0,0,0,115,72,894,1466,0,44,33.32,9.84,20.32,4/15,4/15,1,0,0,punjab-kings__marcus-stoinis.jpg
Suryansh Shedge,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Punjab Kings,5,3,7,11,4,2.33,63.64,0,0,0,0,0,0,0,0,0,5,1,18,40,0,0,0.0,13.33,0.0,0/40,0/40,0,0,0,punjab-kings__suryansh-shedge.jpg
Cooper Connolly,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Punjab Kings,6,5,223,136,87,55.75,163.98,1,21,14,0,2,0,0,0,0,6,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__cooper-connolly.jpg
Azmatullah Omarzai,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Punjab Kings,16,9,99,74,21,12.38,133.79,1,8,5,0,0,0,0,0,0,16,15,288,465,0,12,38.75,9.69,24.0,2/27,2/27,0,0,0,punjab-kings__azmatullah-omarzai.jpg
Marco Jansen,Bowling Allrounder,Right Handed Bat,Left-arm fast,Punjab Kings,41,23,151,140,34,12.58,107.86,11,8,7,3,0,0,0,0,0,41,40,853,1319,1,41,32.17,9.28,20.8,3/17,3/17,0,0,0,punjab-kings__marco-jansen.jpg
Praveen Dubey,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Punjab Kings,5,2,23,33,16,23,69.70,1,2,0,0,0,0,0,0,0,5,5,78,111,0,2,55.5,8.54,39.0,1/19,1/19,0,0,0,punjab-kings__praveen-dubey.jpg
Prabhsimran Singh,WK-Batsman,Right Handed Bat,,Punjab Kings,57,56,1516,982,103,27.56,154.38,1,156,82,5,9,1,0,0,0,57,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__prabhsimran-singh.jpg
Vishnu Vinod,WK-Batsman,Right Handed Bat,,Punjab Kings,6,6,56,57,30,9.33,98.25,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__vishnu-vinod.jpg
Arshdeep Singh,Bowler,Left Handed Bat,Left-arm fast-medium,Punjab Kings,88,14,31,46,10,5.17,67.40,8,4,0,3,0,0,0,0,0,88,88,1846,2782,2,103,27.01,9.04,17.92,5/32,5/32,2,1,0,punjab-kings__arshdeep-singh.jpg
Xavier Bartlett,Bowler,Right Handed Bat,Right-arm fast-medium,Punjab Kings,10,2,22,20,11,22,110.00,1,1,1,0,0,0,0,0,0,10,10,190,324,0,6,54.0,10.23,31.67,2/9,2/9,0,0,0,punjab-kings__xavier-bartlett.jpg
Yuzvendra Chahal,Bowler,Right Handed Bat,Right-arm legbreak,Punjab Kings,180,20,37,86,8,5.29,43.03,13,0,0,1,0,0,0,0,0,180,177,3893,5195,4,225,23.09,8.01,17.3,5/40,5/40,8,1,0,punjab-kings__yuzvendra-chahal.jpg
Lockie Ferguson,Bowler,Right Handed Bat,Right-arm fast,Punjab Kings,49,11,72,47,24,24,153.20,8,7,2,1,0,0,0,0,0,49,49,1023,1530,1,51,30.0,8.97,20.06,4/28,4/28,1,0,0,punjab-kings__lockie-ferguson.jpg
Harpreet Brar,Bowler,Left Handed Bat,Left-arm orthodox,Punjab Kings,49,26,244,203,29,20.33,120.20,14,19,10,1,0,0,0,0,0,49,46,811,1085,1,35,31.0,8.03,23.17,4/30,4/30,1,0,0,punjab-kings__harpreet-brar.jpg
Vijaykumar Vyshak,Bowler,Right Handed Bat,Right-arm medium,Punjab Kings,22,4,14,12,13,7,116.67,2,0,1,2,0,0,0,0,0,22,21,435,747,0,23,32.48,10.3,18.91,3/20,3/20,0,0,0,punjab-kings__vijaykumar-vyshak.jpg
Yash Thakur,Bowler,Right Handed Bat,Right-arm fast-medium,Punjab Kings,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,443,770,1,25,30.8,10.43,17.72,5/30,5/30,1,1,0,punjab-kings__yash-thakur.jpg
Ben Dwarshuis,Bowler,Left Handed Bat,Left-arm fast-medium,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,punjab-kings__ben-dwarshuis.jpg
Vishal Nishad,Bowler,Right Handed Bat,Right-arm legbreak,Punjab Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,punjab-kings__vishal-nishad.jpg
Ajinkya Rahane,Batsman,Right Handed Bat,Right-arm medium,Kolkata Knight Riders,205,190,5184,4130,105,30.32,125.53,19,522,132,15,34,2,0,0,0,205,1,6,5,0,1,5.0,5,6.0,1/5,1/5,0,0,0,kolkata-knight-riders__ajinkya-rahane.jpg
Manish Pandey,Batsman,Right Handed Bat,Right-arm medium,Kolkata Knight Riders,174,162,3942,3244,114,29.42,121.52,28,339,115,14,22,1,0,0,0,174,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,kolkata-knight-riders__manish-pandey.jpg
Rovman Powell,Batsman,Right Handed Bat,Right-arm fast-medium,Kolkata Knight Riders,33,27,485,335,67,22.05,144.78,5,31,35,2,1,0,0,0,0,33,2,18,35,0,1,35.0,11.67,18.0,1/18,1/18,0,0,0,kolkata-knight-riders__rovman-powell.jpg
Angkrish Raghuvanshi,Batsman,Right Handed Bat,Right-arm offbreak,Kolkata Knight Riders,29,25,663,460,54,30.14,144.14,3,69,23,0,4,0,0,0,0,29,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,kolkata-knight-riders__angkrish-raghuvanshi.jpg
Rinku Singh,Batsman,Left Handed Bat,Right-arm offbreak,Kolkata Knight Riders,65,57,1231,858,67,30.78,143.48,17,100,59,0,5,0,0,0,0,65,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,kolkata-knight-riders__rinku-singh.jpg
Finn Allen,Batsman,Right Handed Bat,,Kolkata Knight Riders,5,5,81,42,37,16.2,192.86,0,13,4,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,kolkata-knight-riders__finn-allen.jpg
Rahul Tripathi,Batsman,Right Handed Bat,Right-arm medium,Kolkata Knight Riders,100,98,2291,1662,93,26.03,137.85,10,229,85,4,12,0,0,0,0,100,1,6,12,0,0,0.0,12,0.0,0/12,0/12,0,0,0,kolkata-knight-riders__rahul-tripathi.jpg
Sarthak Ranjan,Batsman,Right Handed Bat,Right-arm offbreak,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kolkata-knight-riders__sarthak-ranjan.jpg
Ramandeep Singh,Batting Allrounder,Right Handed Bat,Right-arm medium,Kolkata Knight Riders,37,25,293,194,35,19.53,151.04,10,17,19,1,0,0,0,0,0,37,6,56,94,0,7,13.43,10.07,8.0,3/20,3/20,0,0,0,kolkata-knight-riders__ramandeep-singh.jpg
Anukul Roy,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Kolkata Knight Riders,18,11,65,51,29,10.83,127.46,5,5,2,4,0,0,0,0,0,18,15,239,339,0,10,33.9,8.51,23.9,2/19,2/19,0,0,0,kolkata-knight-riders__anukul-roy.jpg
Cameron Green,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Kolkata Knight Riders,36,35,869,567,100,37.78,153.27,12,78,39,1,3,1,0,0,0,36,32,475,749,0,17,44.06,9.46,27.94,2/12,2/12,0,0,0,kolkata-knight-riders__cameron-green.jpg
Rachin Ravindra,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Kolkata Knight Riders,18,18,413,287,65,24.29,143.91,1,40,16,2,2,0,0,0,0,18,2,12,7,0,0,0.0,3.5,0.0,0/3,0/3,0,0,0,kolkata-knight-riders__rachin-ravindra.jpg
Sunil Narine,Bowling Allrounder,Left Handed Bat,Right-arm offbreak,Kolkata Knight Riders,194,125,1816,1095,109,17.46,165.85,21,191,120,18,7,1,0,0,0,194,193,4483,5079,4,198,25.65,6.8,22.64,5/19,5/19,7,1,0,kolkata-knight-riders__sunil-narine.jpg
Daksh Kamra,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kolkata-knight-riders__daksh-kamra.jpg
Tim Seifert,WK-Batsman,Right Handed Bat,,Kolkata Knight Riders,5,5,45,38,21,9,118.43,0,6,1,1,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,kolkata-knight-riders__tim-seifert.jpg
Tejasvi Dahiya,WK-Batsman,Right Handed Bat,Right-arm offbreak,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kolkata-knight-riders__tejasvi-dahiya.jpg
Vaibhav Arora,Bowler,Right Handed Bat,Right-arm fast-medium,Kolkata Knight Riders,39,12,10,27,2,2.5,37.04,8,0,0,3,0,0,0,0,0,39,38,782,1280,1,43,29.77,9.82,18.19,3/27,3/27,0,0,0,kolkata-knight-riders__vaibhav-arora.jpg
Umran Malik,Bowler,Right Handed Bat,Right-arm fast,Kolkata Knight Riders,26,6,23,16,19,11.5,143.75,4,1,2,2,0,0,0,0,0,26,26,493,772,1,29,26.62,9.4,17.0,5/25,5/25,1,1,0,kolkata-knight-riders__umran-malik.jpg
Varun Chakaravarthy,Bowler,Right Handed Bat,Right-arm legbreak,Kolkata Knight Riders,88,14,26,48,10,5.2,54.17,9,2,0,2,0,0,0,0,0,88,88,1990,2538,1,105,24.17,7.65,18.95,5/20,5/20,1,1,0,kolkata-knight-riders__varun-chakaravarthy.jpg
